FSO_Att,Absolute Humidity,Wind Speed,Visibility,Time,Wind Speed Max,Temperature,Temperature Difference,Particulate,Distance,SYNOP Code
5.020738319,5.864858654,0,10748.33033,20,0.381162366,3.475787545,0.2,0,4820.914875,0
5.596546138,5.897613322,0.060091771,8546.221331,20,0.73450476,3.588954665,0.2,0,4821.328632,0
4.911831618,5.990379051,0.585962447,9387.808018,20,1.20822131,3.393643012,0,0,4820.078666,0
4.919719409,6.027783696,0.438638153,12110.38224,21,1.653808741,3.579799646,0.2,0,4821.482869,0
5.633168277,5.961290066,0,10143.98017,21,1.143519784,3.682851725,0.2,8.830499194,4826.395563,5
6.176965556,5.917999942,0,10414.45814,21,0.610560151,3.57472855,0.2,8.886914096,4821.854308,5
5.763151564,5.982563653,0,9419.632762,21,1.009795822,3.544582742,0.286,12.17984735,4826.32971,5
5.98270104,5.932435625,0,8051.911738,21,0.668011336,3.66193422,0.3,9.073755487,4819.733636,5
5.540545425,6.02738502,0,9329.851296,21,1.287617914,3.523172312,0.3,8.893354588,4820.167575,5
4.945458193,5.925206606,0.235914732,11013.06235,21,0.851815324,3.551253318,0.218,0,4825.938407,0
4.978099449,6.066882322,0,11866.22166,21,0.184307346,3.689388086,0.1,0,4825.614821,0
4.116358893,6.087569363,0,12228.10267,22,0,3.907881513,0.3,0,4827.772818,0
4.078875395,6.084889214,0,11957.59862,22,0.385484525,4.062792062,0.364,0,4825.152268,0
3.734212069,6.09815069,0.025505275,11255.38248,22,0.045608267,3.818593761,0.2,0,4820.380241,0
3.280905842,5.99028703,0.340126735,8905.084481,22,0.43876123,3.609558363,-0.15,0,4827.901321,0
4.549512269,6.133733529,0.822784729,10476.05151,23,2.3903982,3.716482438,-0.088,0,4819.279495,0
4.906549276,6.038269581,1.674967699,11143.32606,23,3.019014999,4.149187442,0.115,0,4827.775111,0
5.107644672,6.266798738,1.063391256,11497.09411,23,1.932630812,4.361117794,0.53,0,4822.036232,0
5.310830015,6.199138459,0.418727218,9965.477493,23,0.781344258,4.063284468,0.473,0,4822.628695,0
5.603952867,6.157076725,0.039985899,9766.864259,23,0.055500853,4.349499211,0.4,0,4818.557245,0
5.259966866,6.128129477,0.308764682,9059.788053,0,0.382842288,3.924711431,-0.2,0,4818.139758,0
5.781988009,6.074836368,0.204876774,8478.287905,0,0.275768839,3.922186344,-0.113,0,4818.040781,0
7.604697879,6.550423977,1.63963728,16731.00961,0,2.377014387,5.053074622,0.7,0,4820.390089,0
6.643463671,6.465328021,0.633816262,19702.44529,0,0.866868482,5.349662376,1.3,0,4823.298047,0
7.262053381,6.444122109,0.625596573,16471.3554,1,0.81903722,5.081047841,1.042,0,4826.845208,0
7.332330618,6.488781491,1.096972871,26297.03421,1,1.603995073,5.62090327,0.463,0,4824.369674,0
7.634839396,6.313038455,0.993132838,21171.36021,1,1.277646207,5.268936878,0.02,0,4826.216039,0
8.115175749,6.422932313,0.709024645,16898.82977,1,1.035533863,5.191025921,0.068,6.023931432,4826.189663,5
7.770310112,6.328997994,0.451640184,18805.66748,2,0.588800998,5.071949359,-0.2,13.19589484,4822.468062,6
10.04133092,6.341587052,0.372934444,13908.17616,2,0.517446842,5.063142013,-0.153,52.49203869,4821.499143,6
11.12060881,6.356766741,0.360870255,13337.58499,2,0.535771864,5.03862902,-0.402,63.42712109,4819.491264,6
10.89454196,6.414152599,0.47255921,10705.02905,2,0.713839058,5.050290319,-0.5,80.45847478,4824.955982,6
10.61842376,6.383542348,0.201206504,10940.98462,2,0.313728174,5.047784656,-0.45,85.54513569,4825.138007,6
9.73181542,6.341429417,0.331115007,18203.5092,2,0.411134574,5.211134601,-0.34,51.84693031,4822.969793,6
8.114219223,6.474243408,0.333590349,29576.20726,2,0.548021823,5.103768046,-0.4,0,4819.934962,0
8.437642738,6.455609033,0.762936174,24307.86078,2,1.136510451,5.488610681,0.1,36.93662558,4823.640294,8
10.52492108,6.546134388,1.211509349,12631.9721,2,2.414350819,5.546774981,0.198,75.78916464,4826.547072,8
10.00424543,6.447194489,0.869780843,16937.65922,2,2.378915933,5.680864516,0.3,73.36097678,4823.994246,8
8.547973891,6.565019017,1.258270342,20609.46588,2,2.656836372,5.740400348,0.345,43.72220401,4822.518819,5
8.190807008,6.50323257,0.408752391,55867.15017,2,0.977851328,5.779679158,0.5,7.136125968,4827.170015,5
8.106598153,6.389890752,0.984316784,72135.3527,2,1.51622769,5.813825291,0.7,4.999518546,4820.509033,8
